COMPARISONS:			
plus	more	moins	less
plus que	more than	moins que	less than
bon	good	meilleur	better
le meilleur	the best	mauvais	bad
pire	worse	le pire	the worst
bien	well	mieux	better
le mieux	the best	mal	badly
plus mal	worse	le plus mal	the worst
beaucoup plus	a lot more	le plus	 the most
un peu moins 	a little less	le moins	the least

			
CONJUNCTIONS & CONNECTIVES:			
à cause de	because of	à part	apart from, except for
ainsi (que)	so (as well as)	alors	then
aussi	also	car	because, for, as
cependant	however, yet, even so	c’est-à-dire	that is
comme	as/like	d’un côté/de l’autre côté	on the one hand/on the other hand
donc	therefore, so	ensuite	then, next
évidemment	evidently	et	and
mais	but	même si	even if
ou	or 	parce que	because
par contre	however, on the other hand	par exemple	for example
pendant que	while	pourtant	yet, even, though
puis	then	puisque	since, because, as
quand	when	sans doute	without doubt
si	if	y compris	including

			
Prepositions:			
à	at/to	à côté de	next to
à travers	across/through	au bord de	at the edge of
au bout de	at the end of	au-dessous de	underneath
au-dessus de	above	au fond de 	at the bottom of
au lieu de	instead of	au milieu de	in the middle of
autour de	around	avec	with
contre	against	dans	in
de	of/from	depuis	since
derrière	behind	devant	in front  (of)
en	in/on/by	en dehors de	apart from
en face de	opposite	entre	between
jusqu’à	until	malgré	despite
parmi	among	pour	for/in order to
près de	near	sans	without
selon	according to	sous	under
sur	on	vers	towards
			
NEGATIVES:			
ne… jamais	never	ne… pas	not
ne… personne	nobody	ne…. plus	no more
ne…. que	only	ne…. rien	nothing
ni…. ni	neither…nor	pas encore	not yet
			
NUMBER EXPRESSIONS:			
premier/première	first	deuxième	second
une dizaine	around/about ten	une douzaine	dozen/twelve
nombre de	a number of/many of		
			
ASKING QUESTIONS:			
Combien?	How many?	Comment?	How?
Est-ce que?	Is?	Où?	Where?
Pourquoi?	Why?	Quand?	When?
Que?	What?	Quel/quelle?	Which?
Qu’est-ce que?	What?	Qui est-ce qui ?	Who ?
Qu’est-ce que c’est?	What is it?	Qui?	Who?
Quoi?	What?		
			
COMMON QUESTIONS:			
